"raster_geocode_100","raster_pop_100","cities_100","cities_dist_100","clinics_100","clinics_dist_100","globcover_cls0","globcover_cls100","globcover_cls110","globcover_cls120","globcover_cls130","globcover_cls14","globcover_cls140","globcover_cls150","globcover_cls160","globcover_cls170","globcover_cls180","globcover_cls190","globcover_cls20","globcover_cls200","globcover_cls210","globcover_cls220","globcover_cls30","globcover_cls40","globcover_cls50","globcover_cls60","globcover_dst0","globcover_dst100","globcover_dst110","globcover_dst120","globcover_dst130","globcover_dst14","globcover_dst140","globcover_dst150","globcover_dst160","globcover_dst170","globcover_dst180","globcover_dst190","globcover_dst20","globcover_dst200","globcover_dst210","globcover_dst220","globcover_dst30","globcover_dst40","globcover_dst50","globcover_dst60","hamlets_100","hamlets_dist_100","hospitals_100","hospitals_dist_100","hydro_ele_100","hydro_slo_100","modis_100","night_lights_100","pharmacies_100","pharmacies_dist_100","protected_areas_100","protected_areas_dist_100","railways_100","railways_dist_100","rivers_100","rivers_dist_100","roads_100","roads_dist_100","schools_100","schools_dist_100","suburbs_100","suburbs_dist_100","towns_100","towns_dist_100","villages_100","villages_dist_100","water_100","water_dist_100","wc_prec_100","wc_temp_100"
41799,0.222720623016357,0,27373.3717159897,0,23355.2324475313,0,0,0.0170240072474709,0.00979540993507474,0.0380303487845387,0.0978031103729428,0.0716253963460667,0,0,0,0,0,0.233277970708138,0,0,0,0.331968141325683,0.200135890080024,0.000339725200060396,0,1130087.22444512,916775.756228295,4131.53448210781,11707.0256681262,6955.24616865469,2010.71213951382,3439.96783934773,76946.0674543258,26210.0821191303,294378.666446474,19070.0480899894,62258.1040125321,470.890702853692,17679.6986260003,24180.1121470633,24686.2047976748,990.375754944889,946.42486410992,10405.4620073985,893435.991016156,0,14447.8512569832,1.88736222255775e-05,7662.31577457346,1098.55779103125,12.1658727243114,8363.05565831194,0.0295770247108403,0,23412.6532726861,0.067548693945342,7526.45521289446,0,136928.516193568,0.0191567265589612,5614.63558810207,0.0355579042729881,1380.5637739695,1.88736222255775e-05,8162.58561075042,0,81782.0511852635,1.88736222255775e-05,11915.2009663295,1.88736222255775e-05,8558.69600256681,0.00015098897780462,11729.7627585686,1580.89246153856,22.4851968853291
41801,0.170939311385155,0,49271.8437367304,0,38309.7611889597,0,0,0.0360934182590234,0,0.0305732484076433,0.152505307855626,0.0231847133757962,0,0.00955414012738853,0,0.00573248407643312,0,0.132908704883227,0.00857749469214437,0,0.00439490445859873,0.0790870488322718,0.515541401273885,0.00184713375796178,0,1152891.62299363,856327.927070064,4378.7510403397,22483.1834819533,2721.53316348195,2597.16596602972,2842.28585987261,54731.1309129512,28886.8656050955,223089.147515924,7742.92993630573,27389.024670913,1573.92481953291,9943.56191082803,16394.2238428875,9954.78851380042,3364.77617834395,537.832484076433,10656.6015498938,838650.924140127,0.000339702760084926,6809.15233545648,0,23287.5634607219,2344.84029723991,18.4421338247617,6242.54772823779,0.0150075187570101,0,38517.5558386412,0.609808917197452,2227.46845010616,0,101793.413800425,0.0143312101910828,2675.85813163482,0.0154989384288747,7547.77673036093,0.000191082802547771,9506.08002123142,0,39028.7925053079,2.12314225053079e-05,14473.1332908705,0,17870.7284713376,0.000509554140127388,16869.6729723992,1610.95217909601,14.721260470844
41807,1.1755667924881,0,50484.0555735231,0,41747.3628719276,0,0,0.00242561448900388,0,0.0691030616645106,0.191246226821906,0.0231780940060371,0,0,0,0,0,0.275549805950841,0,0,0,0.159174213022855,0.276897369555843,0.00242561448900388,0,1249437.32503234,765702.898663217,6399.50242561449,54039.0123975852,1976.86281802501,786.527436394998,2849.02835273825,79080.1900603708,46414.4680896938,218588.047110824,18773.7621280724,90068.3573199655,404.49460974558,22531.5447391117,30535.3062203536,22715.0458171626,1353.441461837,595.061610608021,5455.14144027598,743336.327080638,0,7407.07761966365,0.000107805088400172,6582.49563389392,1380.6956123329,13.7283837154539,9216.60882923674,0.0963929219388653,0.000107805088400172,6656.18068132816,0,15173.0767033204,0,178616.693564036,0.00495903406640793,3897.23528460543,0.0559508408796895,1201.13874514877,0.000485122897800776,4511.72703751617,0,82818.2596485554,5.39025442000862e-05,6028.65626347564,5.39025442000862e-05,6413.74089047003,0,16863.901250539,1631.080660731,20.1729745050168
41872,0.134141191840172,0,43599.66556846,0,41087.358174891,0,0,0.201708048811912,0.00132521028510427,0.000625793745743682,0,0.27582779628573,0,0,0,0,0,0.141852717601369,0,0.00443577331541845,0,0.228727614069316,0.134564061033296,0.0109329848521102,0,1101744.09085053,935439.506488009,566.471553993116,8979.85380353758,14001.6105354218,11369.5781413926,404.406140140988,67864.3014485285,48613.0129576117,292826.807108281,38099.8649389851,79240.633652979,995.999392611953,44641.578969649,7483.74611179621,48457.342548453,546.99688943697,1500.29809869135,5700.67068524415,914581.174688484,0,9696.77937089323,1.8405698404226e-05,12774.0432165799,476.618247409398,4.92294046842907,6757.07662292246,0.0388254089254911,3.68113968084519e-05,13889.4762106348,0.553753842189542,1788.72592074506,0,113894.808028566,0.0408606504573816,1386.4901805599,0.0422410778376986,1312.22784414055,1.8405698404226e-05,10213.8812464339,0,56103.0551434724,1.8405698404226e-05,12668.7329517219,5.52170952126778e-05,7650.77701496383,0,19352.4214536821,1642.47963621108,26.9398385463326
41885,0.232505217194557,0,40076.9216789529,0,38104.8596058372,0,0,0.0243117195727396,0.00027079885662705,0.0012637279975929,0.0504889423800211,0.0152850910185046,0,0,0,0,0.00785316684218444,0.144456145629607,0,0.130886114036407,0,0.137776440499473,0.480276816608997,0.00713103655784564,0,1172531.09372649,853737.113645253,1926.91689483978,12798.4932149842,6451.4593049496,3272.89703625696,2273.45593500827,84165.3410561155,41734.1029035655,245253.444170302,22770.0321047089,7132.0537084399,1107.88274409508,28583.7901910636,2602.65728900256,20830.9337144576,918.262043026929,361.416338197683,2282.58342109222,832275.753813751,9.02662855423499e-05,4687.68521137355,0,20439.069113886,699.279073266135,8.0212533152995,10876.3194523845,0.301896683658602,0,22490.3436437491,0.00869565217391304,12722.5571536031,0,130926.19587784,0.021663908530164,2243.05440048142,0.0219647961486385,1926.92577102452,3.008876184745e-05,7777.47067850158,0,56340.6250037611,3.008876184745e-05,7140.41405145178,0,16496.5490597262,0.000601775236949,7576.03014893937,1579.53213553806,24.5531015188009
44001,0.608677089214325,3.23790158074355e-06,37024.2419295303,4.20927205496662e-05,36756.8049229056,0,0,0.0222800007770964,0.0150562423504575,0,0,0.107896594375117,0.000935753556834886,0,0,3.56169173881791e-05,0,0.0268972484312367,4.85685237111533e-05,0.00895279787075592,0,0.386239565862156,0.431657611335246,0,0,222280.886080909,1813040.35425881,6182.90588391475,4439.33680328453,67157.76891744,42009.2938363306,2737.18300295944,21454.7490982444,116460.317757947,110443.424624889,32563.238322508,129053.187432409,3050.08375803809,32665.2910355457,19789.1850266479,82510.8500495399,630.875845901788,877.153732329152,95561.1200387253,1810119.89295821,0.000123040260068255,5634.08078240654,8.74233426800759e-05,23922.4743461058,292.645912796835,5.48619113148021,9165.07247071318,0.216081691477629,3.23790158074355e-05,33940.8845202401,0.193487284760492,5924.30813814183,0,41699.1603506,0.0183006197343626,3396.4870937243,0.0157167742729292,5214.74327649737,0.000670245627213915,4955.03683436838,7.44717363571017e-05,37465.8725432422,0,28661.3208339539,7.12338347763581e-05,8297.60697379242,0.00579584382953096,6055.45367534208,1078.21455783749,26.6025619315457
44035,0.533664166927338,0,54387.6995734085,0,53902.8744942236,0,0,0.0204141415990772,0.0162580786905656,0,0,0.0761822808912649,0.000494333473699628,0,0,0,0,0.0273897361723942,0,0.000988666947399257,0,0.420146835350336,0.438125926875263,0,0,223886.071440341,1833085.47210678,6499.78478185247,5583.53794467127,36444.4133360186,13363.3649828814,2875.37446676065,10740.8561672678,71846.8632893316,65611.7216353284,53092.245756971,106760.318405683,2624.99368351673,55095.0562624728,12511.6897965909,123055.423790256,407.792672879401,373.869862135887,56427.6337721306,1827562.60098134,0,13114.5817206467,0,34478.0400043941,113.085190135301,2.61795498754004,6412.61751405189,0.776008156719597,0,35446.6632673612,0.277119683626577,2506.8898917959,0.00858675552463429,5111.49905710467,0.0193522400629817,3236.11951884875,0.030355737014592,3171.14795217781,1.83086471740603e-05,6964.50755231696,0,54599.3913839506,0,28407.9805195994,5.49259415221809e-05,8132.04112122155,0.00503487797286659,3840.74580274264,982.763588023949,27.6990463705419
44078,0.446168571710587,0,66536.9233707865,0,65870.7311610487,0,0,0.0441947565543071,0.0678901373283396,0,0,0.11565543071161,0.000224719101123596,0,0,0,0,0.0365792759051186,0,0.000224719101123596,0,0.253295880149813,0.481935081148564,0,0,250375.194831461,1801779.00107366,2872.39215980025,2042.99900124844,46308.8432709114,25140.362309613,1370.30821473159,13703.0281273408,87337.9440074906,83476.3637578027,65779.8354556804,113562.181635456,3080.14912609238,67854.7191885144,9980.96057428215,99842.7883021224,697.158576779026,481.303283395755,62915.6310362047,1796464.36991261,6.24219725343321e-05,7726.28619225968,0,23490.8119475655,386.728676654182,8.33246528846818,8553.8484019975,0.634057034593812,0,60176.1172659176,0.195043695380774,4830.19270911361,0,18836.7183270911,0.00863920099875156,6551.33729088639,0.0204494382022472,3895.55278401998,0.000374531835205993,9566.64800249688,0,66576.3510861423,1.24843945068664e-05,13530.3815480649,6.24219725343321e-05,7909.30456928839,0.000561797752808989,9514.61501872659,1111.20572379824,26.1092637103832
44090,0.215702816843987,0,63016.2798052416,0,43826.486930383,0,0,0.0376258672122341,0.0163670236476061,0,0.00010286537208691,0.13863966260158,0.00244590995851097,0,0,0,0,0.019035808578972,0,0.00111437486427486,0.000120009600768061,0.135908015498383,0.648640462665585,0,0,239111.827986239,1774925.10465409,4843.57753763158,5741.91103288263,34710.857834341,17293.7015589819,3748.26026082087,22738.8198884482,109825.691101002,104266.877744505,26230.619826729,87013.2957722332,3102.76789571737,30729.8581372224,16096.3711839804,33519.8119278114,1693.59582480884,349.962488427646,115174.11024882,1774515.49683975,0.000211445487067537,3803.74743693781,5.71474289371721e-06,31265.1472803539,1269.7214291429,19.1148981507124,10218.5384259312,0.0561587920870393,5.71474289371721e-06,26817.6638759672,0.597230635593705,1480.97091195867,0,71786.8554284343,0.0554158618403758,847.004257483456,0.00774919136388054,12999.3579772096,0.000137153829449213,8852.6397311785,0,68615.9753694581,5.71474289371721e-06,27525.9174505389,0.000360028802304184,5500.58518967232,0.0022573234430183,9949.00889213994,1371.68843722074,20.6172936958183
44098,0.56130313873291,0,58483.8902591523,0,58968.3880815834,0,0,0,0.0104782027510672,0,0,0.082230175499116,0,0,0,0,0,0.100168168686128,0,0,0,0.515976025182183,0.291147427881506,0,0,257503.303264197,1782373.47910827,7150.46177396404,2744.73118882325,70971.5964813936,44274.294597042,1190.01961968005,31914.3247811651,116102.430166875,112406.430037515,55919.4366780216,137496.26475788,1799.32525548704,56356.4717347247,26505.1808028977,70990.5161053857,211.799103100341,896.110344530206,72914.5891940839,1778433.72562632,0.000129360527790953,4898.14484067095,0,12063.8729248415,458.344702686387,9.17109664276395,9140.02026648269,0.356076528234746,0,58903.2223707473,0.0125048510197922,8734.05920400155,0,40583.0180242335,0.0116424475011858,3287.24552628175,0.0446293820878789,1334.46789702902,0.000517442111163814,2964.41123711785,0,67747.8131171575,4.31201759303178e-05,9287.16394290889,8.62403518606356e-05,5058.87909102669,0.000560562287094131,4625.50687766806,1148.67751708596,25.7271159570185
44110,0.296643614768982,0,43405.1585033452,0,36162.7417609647,0,0,0.0125134219872801,0.0204014206657306,0,0,0.0554224828611547,0,0,0,0,0,0.0754935161476832,0,0,0,0.429833980341951,0.406335177996201,0,0,289367.550838358,1757082.29297101,3615.03977038077,3117.17242091352,76698.7467167754,31372.8738333196,2005.9940943256,52403.06335178,116958.861815479,113926.52015363,77193.981622202,133365.50078467,1332.08239035269,88211.199058396,17319.8417444454,79834.8966300487,332.449368134137,711.143801106798,40940.4654332205,1751909.59221938,0.00028908895680185,2757.00813578921,4.12984224002643e-05,7773.96328570249,734.576649871975,12.1100551004213,10861.3433550838,0.11248275658912,0,45429.3857272652,0.0737176839844718,7439.83253489717,0,60638.2988353845,0.0047493185760304,4474.14801354588,0.0165193689601057,5586.51243082514,0.000165193689601057,4185.83418683406,0,99741.9684893037,4.12984224002643e-05,7523.20236226976,0,10694.7162798381,0,17836.4586602792,1276.26110781056,24.0486234337456
44279,0.903139293193817,0,62318.8955702884,0,58310.4974029813,0,0,0.00544740509269034,0.0230142308179553,0,0,0.0910645665301296,0,0,0,0,0,0.153941978801571,0,0,0,0.49438368312149,0.232148135636164,0,0,268130.902896837,1780134.63975339,3505.91491068789,2755.17575271315,63129.3994130315,42402.5270047718,1207.88045268359,30309.4735441915,102598.222984671,99235.313838098,72867.8455512858,123788.250432836,774.787403403573,73185.0540939994,21955.6838182509,86145.4602423884,190.573814450403,1134.08384358769,59330.0433047591,1775029.43971961,0.000147797812592374,5056.06243401883,8.44558929099278e-05,12001.0358937545,488.973354165787,8.09574875309253,9635.179806596,0.849070623249632,0,64020.0527004772,0.178159706093493,4551.51043030277,0,38389.7683163718,0.0093534901397745,3175.6241290486,0.0402643469448081,2024.68721760061,0.000802330982644314,3740.55897132722,0,79580.90849204,2.11139732274819e-05,11072.0950128795,4.22279464549639e-05,5526.18244584266,0.000316709598412229,10087.1757738271,1184.55796030239,25.5110437127318
44378,0.933671236038208,0,53226.2644143515,0,53134.3441295547,0,0,0.0463958304248685,0.0289450416492159,0,0,0.182000093070873,0.00167527572246266,0,0,0,0,0.0480245707105961,0,0,0,0.534785238959468,0.158173949462516,0,0,238159.677555959,1810195.51994043,3331.09739866909,2222.37749546279,51136.9712411001,28893.2088045046,1416.75322257899,6823.3707943599,91610.9943226767,86928.015449765,56142.1414211922,121306.363907115,1567.09614221229,56129.2687886826,11263.7680208479,97544.9855740146,196.83652101075,760.183256549863,70716.7319558844,1805485.44236586,4.65354367350738e-05,5071.32621341151,0,27665.5008609056,384.088836148727,6.54757999392628,7711.01209921355,0.952216023740009,0,51968.9494159803,0.00767834706128717,5160.71748336358,0,11509.3378938061,0.00684070920005584,5112.08539252641,0.0445344129554656,1151.18814277072,0.00116338591837684,4024.67085485597,0,52872.1460747359,4.65354367350738e-05,7369.25752710689,0,9355.89129321979,0.000465354367350738,3561.95555865792,1120.78769949719,26.3424087731289
44420,0.19477567076683,0,19320.5720093562,0,11426.6793272444,0,0,0.000501225217197594,0.0252840276230786,0,0.00334150144798396,0.015203831588327,0,0,0,0,0,0.257462686567164,0,0,0,0.496825573624415,0.201381153931833,0,0,309057.78558699,1730088.19085542,7617.77121853419,2651.3867787926,67439.9773891735,7730.33860548006,1627.79950991312,63037.8486299844,128911.446368902,137678.564992203,60116.0814769436,141320.382490532,434.419135664959,79636.8166629539,16351.3664513255,70430.5133660058,205.51949209178,1287.02311205168,40386.7767320116,1725530.38360437,5.56916907997327e-05,5620.7191468033,0,12325.779182446,579.10932278904,8.79489404656573,10152.1299287146,0.130248871413356,0,18777.590777456,0.0764089997772332,8375.7033860548,0,86851.1578859434,0.0106928046335487,3906.92760080196,0.0316885720650479,1958.05162619737,0.000111383381599465,6197.17520605926,0,120552.334707062,5.56916907997327e-05,6050.80235018935,5.56916907997327e-05,5833.66618400535,0.000222766763198931,6559.64802851415,1304.01979165285,25.2975370749746
